Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Cboot1,Taiyo Yuden,EMK107B7104KA-T,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0603  
Cboot2,Taiyo Yuden,EMK107B7104KA-T,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0603  
Rcomp,Vishay-Dale,CRCW0402301RFKED,1,0.01,3,Resistance: 301 Ω  Tolerance: 1.0%  Power: 63 mW  
Coutx2,TDK,C1005X5R1V105K050BC,1,0.03,3,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 35 V  ESR: 11.42 mΩ  Package: 0402  
Cinx,TDK,C3225X7R1H106M250AC,1,0.27,14.7,Cap: 10 µF  Total Derated Cap: 10 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
Cin,Panasonic,25SVPF100M,1,0.66,106.09,Cap: 100 µF  Total Derated Cap: 100 µF  VDC: 25 V  ESR: 24 mΩ  Package: 8x6.9  
Ccomp,MuRata,GRM155R61A823KA01D,1,0.01,3,Cap: 82 nF  Total Derated Cap: 82 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
Cinx2,TDK,C1005X5R1V105K050BC,1,0.03,3,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 35 V  ESR: 11.42 mΩ  Package: 0402  
Cvcc,TDK,C1608X6S1C475K080AC,1,0.08,4.68,Cap: 4.7 µF  Total Derated Cap: 4.7 µF  VDC: 16 V  ESR: 3.73 mΩ  Package: 0603  
Rent,Vishay-Dale,CRCW0402301KFKED,1,0.01,3,Resistance: 301 kΩ  Tolerance: 1.0%  Power: 63 mW  
Coutx,MuRata,GRM32ER71H475KA88L,3,0.16,14.7,Cap: 4.7 µF  Total Derated Cap: 12 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
L1,Coilcraft,MSS1210-103MEB,1,0.81,204.49,L: 10 µH  DCR: 14 mΩ  IDC: 10 A  
Rt,Vishay-Dale,CRCW040249K9FKED,1,0.01,3,Resistance: 49.9 kΩ  Tolerance: 1.0%  Power: 63 mW  
Renb,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cout,Panasonic,25SVPF27MX,2,0.47,53.29,Cap: 27 µF  Total Derated Cap: 54 µF  VDC: 25 V  ESR: 40 mΩ  Package: 5x5.9  
U1,Texas Instruments,TPS55289RYQR,1,3.35,35,
